image,w,h,aspr,corrected
image00006,2542,2470,1.029149798,x
image00662,1768,2432,0.726973684,x
image00664,1765,2430,0.726337449,x
image00545,1745,2410,0.72406639,x
image00513,1766,2442,0.723177723,x
image00658,1757,2432,0.722450658,x
image00547,1734,2408,0.720099668,x
image00075,1755,2445,0.717791411,x
image00551,1743,2430,0.717283951,x
image00549,1725,2406,0.716957606,x
image00501,1724,2409,0.715649647,x
image00449,1701,2381,0.714405712,x
image00573,1731,2425,0.713814433,x
image00447,1695,2386,0.710393965,x
image00475,1707,2403,0.710362047,x
image00485,1709,2407,0.710012464,x
image00427,1693,2386,0.709555742,
image00451,1700,2397,0.709219858,
image00445,1687,2379,0.70912148,
image00479,1698,2399,0.707794915,
image00079,1737,2455,0.707535642,
image00457,1734,2454,0.706601467,
image00515,1707,2418,0.705955335,
image00455,1714,2432,0.704769737,
image00137,1698,2418,0.702233251,
image00459,1723,2455,0.701832994,
image00491,1690,2408,0.701827243,
image00133,1695,2417,0.701282582,
image00487,1687,2406,0.701163757,
image00135,1698,2422,0.701073493,
image00123,1698,2424,0.70049505,
image00109,1695,2425,0.698969072,
image00077,1712,2450,0.69877551,
image00125,1698,2431,0.698477993,
image00493,1681,2407,0.698379726,
image00654,1698,2433,0.697903822,
image00107,1698,2435,0.697330595,
image00093,1686,2418,0.697270471,
image00099,1690,2424,0.697194719,
image00115,1690,2425,0.696907216,
image00105,1706,2448,0.696895425,
image00163,1692,2429,0.696582956,
image00119,1690,2427,0.696332921,
image00141,1684,2421,0.695580339,
image00111,1687,2426,0.695383347,
image00139,1681,2418,0.695202647,
image00117,1687,2427,0.695096827,
image00101,1683,2422,0.694880264,
image00147,1672,2407,0.694640631,
image00167,1683,2423,0.694593479,
image00127,1687,2429,0.694524496,
image00103,1680,2419,0.69450186,
image00155,1681,2421,0.694341181,
image00189,1675,2413,0.694156651,
image00161,1684,2426,0.694146744,
image00143,1679,2419,0.694088466,
image00181,1675,2414,0.693869097,
image00121,1683,2428,0.693163097,
image00656,1684,2430,0.693004115,
image00201,1670,2411,0.692658648,
image00211,1670,2411,0.692658648,
image00197,1670,2411,0.692658648,
image00191,1670,2412,0.692371476,
image00149,1676,2422,0.691990091,
image00207,1667,2409,0.691988377,
image00245,1665,2409,0.691158157,
image00131,1673,2421,0.691036762,
image00495,1664,2408,0.6910299,
image00097,1686,2440,0.690983607,
image00087,1673,2422,0.690751445,
image00239,1664,2409,0.690743047,
image00091,1669,2417,0.690525445,
image00083,1674,2425,0.690309278,
image00151,1669,2418,0.690239868,
image00652,1684,2440,0.690163934,
image00203,1661,2407,0.690070627,
image00171,1667,2416,0.689983444,
image00089,1667,2416,0.689983444,
image00095,1669,2420,0.689669421,
image00145,1673,2426,0.689612531,
image00199,1661,2409,0.689497717,
image00205,1661,2410,0.689211618,
image00650,1679,2437,0.688961838,
image00209,1661,2411,0.688925757,
image00129,1645,2388,0.688860972,
image00175,1664,2416,0.688741722,
image00179,1664,2416,0.688741722,
image00305,1630,2367,0.688635403,
image00219,1658,2408,0.688538206,
image00233,1661,2413,0.688354745,
image00047,1688,2453,0.688136975,
image00195,1659,2411,0.688096226,
image00165,1667,2423,0.687990095,
image00235,1658,2410,0.687966805,
image00085,1670,2428,0.687808896,
image00215,1661,2415,0.687784679,
